KOD;NAIM;NAIM_FULL;ADDRESS;COMMENT;
0204;ТОРМ в Аскинском районе;Территориально обособленное рабочее место Межрайонной ИФНС России№ 33 по Республике Башкортостан в Аскинском районе;,452880,Башкортостан Респ,Аскинский р-н,,Аскино с,Пионерская ул,4,,;"Код ОКПО:31227298. Режим приема: понедельник-четверг: 9.00 - 18.00; пятница: 9.00 - 16.45; перерыв на обед: 12.30-13.15; суббота, воскресенье: выходные дни."
0205;ТОРМ в Аургазинском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 3 по Республике Башкортостан в Аургазинском районе;,453480,Башкортостан Респ,Аургазинский р-н,,Толбазы с,Химиков ул,3,,;"Код ОКПО:12752001. Режим приема: понедельник-четверг: 9.00 - 18.00; пятница: 9.00 - 16.45; суббота, воскресенье: выходные дни."
0207;ТОРМ в Бакалинском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 27 по Республике Башкортостан в Бакалинском районе;,452651,Башкортостан Респ,Бакалинский р-н,,Бакалы с,Ленина ул,117,,;"Код ОКПО:12752260. Режим приема: понедельник-четверг: 9.00 - 18.00; пятница: 9.00 - 16.45; суббота, воскресенье: выходные дни."
0208;ТОРМ в Балтачевском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 29 по Республике Башкортостан в Балтачевском районе;,452980,Башкортостан Респ,Балтачевский р-н,,Старобалтачево с,Советская ул,28,,;"Код ОКПО:12752202. Режим приема: понедельник-четверг: 9.00 - 18.00, пятница: 9.00 - 16.45 с перерывом на обед с 13.00 до 13.45; четвертая суббота месяца: 10.00 - 15.00; остальные субботы, воскресенье: выходные дни."
0210;ТОРМ в Белокатайском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 2 по Республике Башкортостан в Белокатайском районе;,452580,Башкортостан Респ,Белокатайский р-н,,Новобелокатай с,Советская ул,126,,;"Код ОКПО:31227281. Режим приема: понедельник, среда: 9.00 - 18.00; вторник, четверг: 9.00 - 20.00; пятница: 9.00 - 16.45; вторая суббота месяца: 10.00 - 15.00; остальные субботы, воскресенье: выходные дни."
0212;ТОРМ в Бижбулякском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 27 по Республике Башкортостан в Бижбулякском районе;,452040,Башкортостан Респ,Бижбулякский р-н,,Бижбуляк с,Победы ул,13,,;"Код ОКПО:12752260. Режим приема: понедельник-четверг: 9.00 - 18.00; пятница: 9.00 - 16.45; суббота, воскресенье: выходные дни."
0214;ТОРМ в Благоварском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 30 по Республике Башкортостан в Благоварском районе;,452740,Башкортостан Респ,Благоварский р-н,,Языково с,Ленина ул,10,,;"Код ОКПО:31227246. Режим приема: понедельник-пятница: 9.00 - 18.00; суббота, воскресенье: выходные дни."
0216;ТОРМ в Буздякском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 30 по Республике Башкортостан в Буздякском районе;,452710,Башкортостан Респ,Буздякский р-н,,Буздяк с,Красноармейская ул,25,,;"Код ОКПО:31227246. Режим приема: понедельник-пятница: 9.00 - 18.00; суббота, воскресенье: выходные дни."
0217;ТОРМ в Бураевском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 29 по Республике Башкортостан в Бураевском районе;,452960,Башкортостан Респ,Бураевский р-н,,Бураево с,Горького ул,53,,;"Код ОКПО:12752202 Режим приема: понедельник-четверг: 9.00 - 18.00, пятница: 9.00 - 16.45 с перерывом на обед с 13.00 до 13.45; четвертая суббота месяца: 10.00 - 15.00; остальные субботы, воскресенье: выходные дни."
0218;ТОРМ в Бурзянском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 20 по Республике Башкортостан в Бурзянском районе;,453580,Башкортостан Респ,Бурзянский р-н,,Старосубхангулово с,Салавата ул,30,,;"Код ОКПО:52984402 Режим приема: понедельник - четверг: 9.00 - 18.00; пятница: 9.00 - 16.45; четвертая суббота месяца: 10.00 - 15.00; остальные субботы, воскресенье: выходные дни. Перерыв: 13.00-13.45"
0219;ТОРМ в Гафурийском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 3 по Республике Башкортостан в Гафурийском районе;,453051,Башкортостан Респ,Гафурийский р-н,,Красноусольский с,Октябрьская ул,2,А,;"Код ОКПО:12752001. Режим приема: понедельник-четверг: 9.00 - 18.00; пятница: 9.00 - 16.45; суббота, воскресенье: выходные дни."
0220;ТОРМ в Дуванском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 2 по Республике Башкортостан в Дуванском районе;,452530,Башкортостан Респ,Дуванский р-н,,Месягутово с,Октябрьский пер,7,1,;"Код ОКПО:31227281 Режим приема: понедельник, среда: 9.00 - 18.00; вторник, четверг: 9.00 - 20.00; пятница: 9.00 - 16.45; вторая и четвертая субботы месяца: 10.00 - 15.00; остальные субботы, воскресенье: выходные дни."
