number,year,kode,region,municipalities,total,urban,rural
1,2016,7900000000,Республика Адыгея,Муниципальные образования Республики Адыгея,451480,213542,237938
2,2016,7970100000,Республика Адыгея,Городской округ - Город Майкоп,167350,144055,23295
3,2016,797010000011000,Республика Адыгея,г. Майкоп,144055,144055,0
4,2016,7970300000,Республика Адыгея,Городской округ - Город Адыгейск,15161,12689,2472
5,2016,797030000011000,Республика Адыгея,г. Адыгейск,12689,12689,0
6,2016,7960500000,Республика Адыгея,Гиагинский муниципальный район,31185,0,31185
7,2016,7960540200,Республика Адыгея,Айрюмовское сельское поселение,3100,0,3100
8,2016,7960540700,Республика Адыгея,Гиагинское сельское поселение,15376,0,15376
9,2016,7960541000,Республика Адыгея,Дондуковское сельское поселение,6753,0,6753
10,2016,7960541500,Республика Адыгея,Келермесское сельское поселение,3061,0,3061
11,2016,7960542000,Республика Адыгея,Сергиевское сельское поселение,2895,0,2895
12,2016,7961500000,Республика Адыгея,Кошехабльский муниципальный район,29968,0,29968
13,2016,7961540400,Республика Адыгея,Блечепсинское сельское поселение,3094,0,3094
14,2016,7961540800,Республика Адыгея,Вольненское сельское поселение,4163,0,4163
15,2016,7961541200,Республика Адыгея,Дмитриевское сельское поселение,3593,0,3593
16,2016,7961541500,Республика Адыгея,Егерухайское сельское поселение,1621,0,1621
17,2016,7961541800,Республика Адыгея,Игнатьевское сельское поселение,944,0,944
18,2016,7961542000,Республика Адыгея,Кошехабльское сельское поселение,7183,0,7183
19,2016,7961542500,Республика Адыгея,Майское сельское поселение,2649,0,2649
20,2016,7961543000,Республика Адыгея,Натырбовское сельское поселение,3911,0,3911
21,2016,7961544500,Республика Адыгея,Ходзинское сельское поселение,2810,0,2810
22,2016,7961800000,Республика Адыгея,Красногвардейский муниципальный район,31365,0,31365
23,2016,7961840400,Республика Адыгея,Белосельское сельское поселение,5534,0,5534
24,2016,7961840800,Республика Адыгея,Большесидоровское сельское поселение,2107,0,2107
25,2016,7961841500,Республика Адыгея,Еленовское сельское поселение,3175,0,3175
26,2016,7961842000,Республика Адыгея,Красногвардейское сельское поселение,10833,0,10833
27,2016,7961842500,Республика Адыгея,Садовское сельское поселение,2953,0,2953
28,2016,7961843000,Республика Адыгея,Уляпское сельское поселение,1719,0,1719
29,2016,7961843500,Республика Адыгея,Хатукайское сельское поселение,5044,0,5044
30,2016,7962200000,Республика Адыгея,Майкопский муниципальный район,60097,0,60097
31,2016,7962240200,Республика Адыгея,Абадзехское сельское поселение,6414,0,6414
32,2016,7962240700,Республика Адыгея,Даховское сельское поселение,2784,0,2784
33,2016,7962242000,Республика Адыгея,Кировское сельское поселение,6089,0,6089
34,2016,7962242500,Республика Адыгея,Краснооктябрьское сельское поселение,11473,0,11473
35,2016,7962242800,Республика Адыгея,Красноульское сельское поселение,1846,0,1846
36,2016,7962243400,Республика Адыгея,Кужорское сельское поселение,4162,0,4162
37,2016,7962244700,Республика Адыгея,Победенское сельское поселение,5284,0,5284
38,2016,7962245200,Республика Адыгея,Тимирязевское сельское поселение,3847,0,3847
39,2016,7962245500,Республика Адыгея,Тульское сельское поселение,10870,0,10870
40,2016,7962245700,Республика Адыгея,Каменномостское сельское поселение,7328,0,7328
41,2016,7963000000,Республика Адыгея,Тахтамукайский муниципальный район,78925,51130,27795
42,2016,7963015700,Республика Адыгея,Городское поселение пгт. Энем,21775,19091,2684
43,2016,796301570511000,Республика Адыгея,пгт. Энем,19091,19091,0
44,2016,7963015900,Республика Адыгея,Городское поселение пгт. Яблоновский,34332,32039,2293
45,2016,796301590511000,Республика Адыгея,пгт. Яблоновский,32039,32039,0
46,2016,7963040500,Республика Адыгея,Афипсипское сельское поселение,5037,0,5037
47,2016,7963041700,Республика Адыгея,Козетское сельское поселение,5852,0,5852
48,2016,7963041500,Республика Адыгея,Старобжегокайское сельское поселение,2058,0,2058
49,2016,7963042000,Республика Адыгея,Тахтамукайское сельское поселение,2037,0,2037
50,2016,7963041900,Республика Адыгея,Шенджийское сельское поселение,7834,0,7834
51,2016,7963300000,Республика Адыгея,Теучежский муниципальный район,20988,5668,15320
52,2016,7963315500,Республика Адыгея,Городское поселение пгт. Тлюстенхабль,6048,5668,380
53,2016,796331550511000,Республика Адыгея,пгт. Тлюстенхабль,5668,5668,0
54,2016,7963340500,Республика Адыгея,Ассоколайское сельское поселение,1813,0,1813
55,2016,7963341000,Республика Адыгея,Вочепшийское сельское поселение,1531,0,1531
56,2016,7963341500,Республика Адыгея,Джиджихабльское сельское поселение,1784,0,1784
57,2016,7963343000,Республика Адыгея,Понежукайское сельское поселение,5090,0,5090
58,2016,7963343300,Республика Адыгея,Пчегатлукайское сельское поселение,1916,0,1916
59,2016,7963344500,Республика Адыгея,Габукайское сельское поселение,2806,0,2806
60,2016,7964000000,Республика Адыгея,Шовгеновский муниципальный район,16441,0,16441
61,2016,7964040500,Республика Адыгея,Джерокайское сельское поселение,1552,0,1552
62,2016,7964040800,Республика Адыгея,Дукмасовское сельское поселение,2035,0,2035
63,2016,7964041200,Республика Адыгея,Заревское сельское поселение,2636,0,2636
64,2016,7964043500,Республика Адыгея,Мамхегское сельское поселение,3918,0,3918
65,2016,7964042500,Республика Адыгея,Хатажукайское сельское поселение,4277,0,4277
66,2016,7964043000,Республика Адыгея,Хакуринохабльское сельское поселение,2023,0,2023
67,2016,8400000000,Республика Алтай,Муниципальные образования Республики Алтай,215161,62861,152300
68,2016,8470100000,Республика Алтай,Городской округ - г. Горно-Алтайск,62861,62861,0
69,2016,847010000011001,Республика Алтай,г. Горно-Алтайск,62861,62861,0
70,2016,8461000021,Республика Алтай,Кош-Агачский муниципальный район,18814,0,18814
71,2016,8461040521,Республика Алтай,Бельтирское сельское поселение,1325,0,1325
72,2016,8461041021,Республика Алтай,Джазаторское сельское поселение,1354,0,1354
73,2016,8461042021,Республика Алтай,Казахское сельское поселение,799,0,799
74,2016,8461042521,Республика Алтай,Кокоринское сельское поселение,941,0,941
75,2016,8461043021,Республика Алтай,Кош-Агачское сельское поселение,9212,0,9212
76,2016,8461043521,Республика Алтай,Курайское сельское поселение,1212,0,1212
77,2016,8461044521,Республика Алтай,Мухор-Тархатинское сельское поселение,807,0,807
78,2016,8461045521,Республика Алтай,Ортолыкское сельское поселение,658,0,658
79,2016,8461046421,Республика Алтай,Ташантинское сельское поселение,547,0,547
80,2016,8461046521,Республика Алтай,Тобелерское сельское поселение,915,0,915
81,2016,8461047021,Республика Алтай,Теленгит-Сортогойское сельское поселение,605,0,605
82,2016,8461048021,Республика Алтай,Чаган-Узунское сельское поселение,439,0,439
83,2016,8461500000,Республика Алтай,Майминский муниципальный район,31932,0,31932
84,2016,8461540701,Республика Алтай,Бирюлинское сельское поселение,1495,0,1495
85,2016,8461541200,Республика Алтай,Верх-Карагужское сельское поселение,481,0,481
86,2016,8461542501,Республика Алтай,Кызыл-Озекское сельское поселение,6779,0,6779
87,2016,8461543000,Республика Алтай,Майминское сельское поселение,19341,0,19341
88,2016,8461543500,Республика Алтай,Манжерокское сельское поселение,1734,0,1734
89,2016,8461544500,Республика Алтай,Соузгинское сельское поселение,1415,0,1415
90,2016,8461545500,Республика Алтай,Усть-Мунинское сельское поселение,687,0,687
91,2016,8462000000,Республика Алтай,Онгудайский муниципальный район,14339,0,14339
92,2016,8462041000,Республика Алтай,Елинское сельское поселение,1239,0,1239
93,2016,8462042000,Республика Алтай,Ининское сельское поселение,1593,0,1593
94,2016,8462042500,Республика Алтай,Каракольское сельское поселение,998,0,998
95,2016,8462043000,Республика Алтай,Куладинское сельское поселение,729,0,729
96,2016,8462043500,Республика Алтай,Купчегенское сельское поселение,783,0,783
97,2016,8462044000,Республика Алтай,Нижне-Талдинское сельское поселение,509,0,509
98,2016,8462044500,Республика Алтай,Онгудайское сельское поселение,5586,0,5586
99,2016,8462045500,Республика Алтай,Теньгинское сельское поселение,1671,0,1671
100,2016,8462046000,Республика Алтай,Хабаровское сельское поселение,540,0,540
101,2016,8462046500,Республика Алтай,Шашикманское сельское поселение,691,0,691
102,2016,8462500001,Республика Алтай,Турочакский муниципальный район,12305,0,12305
103,2016,8462540501,Республика Алтай,Артыбашское сельское поселение,2146,0,2146
104,2016,8462541001,Республика Алтай,Бийкинское сельское поселение,615,0,615
105,2016,8462542001,Республика Алтай,Дмитриевское сельское поселение,768,0,768
106,2016,8462544001,Республика Алтай,Кебезенское сельское поселение,1123,0,1123
107,2016,8462544501,Республика Алтай,Курмач-Байгольское сельское поселение,242,0,242
108,2016,8462545501,Республика Алтай,Майское сельское поселение,131,0,131
109,2016,8462546001,Республика Алтай,Озеро-Куреевское сельское поселение,523,0,523
110,2016,8462547001,Республика Алтай,Тондошенское сельское поселение,891,0,891
111,2016,8462547501,Республика Алтай,Турочакское сельское поселение,5866,0,5866
112,2016,8463000021,Республика Алтай,Улаганский муниципальный район,11375,0,11375
113,2016,8463040521,Республика Алтай,Акташское сельское поселение,2418,0,2418
114,2016,8463041021,Республика Алтай,Балыктуюльское сельское поселение,1618,0,1618
115,2016,8463043021,Республика Алтай,Саратанское сельское поселение,996,0,996
116,2016,8463043521,Республика Алтай,Улаганское сельское поселение,3516,0,3516
117,2016,8463045021,Республика Алтай,Челушманское сельское поселение,1162,0,1162
118,2016,8463044021,Республика Алтай,Чибилинское сельское поселение,1043,0,1043
119,2016,8463044521,Республика Алтай,Чибитское сельское поселение,622,0,622
120,2016,8463500000,Республика Алтай,Усть-Канский муниципальный район,14693,0,14693
121,2016,8463541000,Республика Алтай,Белоануйское сельское поселение,1067,0,1067
122,2016,8463543000,Республика Алтай,Козульское сельское поселение,917,0,917
123,2016,8463543500,Республика Алтай,Коргонское сельское поселение,536,0,536
124,2016,8463544000,Республика Алтай,Кырлыкское сельское поселение,1006,0,1006
125,2016,8463545000,Республика Алтай,Мендур-Сокконское сельское поселение,686,0,686
126,2016,8463546000,Республика Алтай,Талицкое сельское поселение,964,0,964
127,2016,8463546500,Республика Алтай,Усть-Канское сельское поселение,4542,0,4542
128,2016,8463547000,Республика Алтай,Усть-Мутинское сельское поселение,683,0,683
129,2016,8463548000,Республика Алтай,Черноануйское сельское поселение,897,0,897
130,2016,8463548500,Республика Алтай,Ябоганское сельское поселение,1696,0,1696
131,2016,8463548800,Республика Алтай,Яконурское сельское поселение,1699,0,1699
132,2016,8464000000,Республика Алтай,Усть-Коксинский муниципальный район,16530,0,16530
133,2016,8464040500,Республика Алтай,Амурское сельское поселение,1486,0,1486
134,2016,8464041500,Республика Алтай,Верх-Уймонское сельское поселение,2196,0,2196
135,2016,8464042000,Республика Алтай,Горбуновское сельское поселение,983,0,983
136,2016,8464044000,Республика Алтай,Карагайское сельское поселение,815,0,815
137,2016,8464044500,Республика Алтай,Катандинское сельское поселение,1438,0,1438
138,2016,8464045500,Республика Алтай,Огневское сельское поселение,1466,0,1466
139,2016,8464046500,Республика Алтай,Талдинское сельское поселение,1252,0,1252
140,2016,8464047500,Республика Алтай,Усть-Коксинское сельское поселение,5596,0,5596
141,2016,8464048500,Республика Алтай,Чендекское сельское поселение,1298,0,1298
142,2016,8464300000,Республика Алтай,Чемальский муниципальный район,10107,0,10107
143,2016,8464340500,Республика Алтай,Аносинское сельское поселение,671,0,671
144,2016,8464341000,Республика Алтай,Бешпельтирское сельское поселение,480,0,480
145,2016,8464344000,Республика Алтай,Куюсское сельское поселение,651,0,651
146,2016,8464344500,Республика Алтай,Узнезинское сельское поселение,869,0,869
147,2016,8464345500,Республика Алтай,Чемальское сельское поселение,4395,0,4395
148,2016,8464346000,Республика Алтай,Чепошское сельское поселение,1141,0,1141
149,2016,8464347000,Республика Алтай,Элекмонарское сельское поселение,1900,0,1900
150,2016,8464500001,Республика Алтай,Чойский муниципальный район,8485,0,8485
151,2016,8464541001,Республика Алтай,Верх-Пьянковское сельское поселение,331,0,331
152,2016,8464543001,Республика Алтай,Каракокшинское сельское поселение,1392,0,1392
153,2016,8464544001,Республика Алтай,Паспаульское сельское поселение,1614,0,1614
154,2016,8464544501,Республика Алтай,Сейкинское сельское поселение,1444,0,1444
155,2016,8464545001,Республика Алтай,Уйменское сельское поселение,387,0,387
156,2016,8464546001,Республика Алтай,Чойское сельское поселение,2573,0,2573
157,2016,8464547001,Республика Алтай,Ыныргинское сельское поселение,744,0,744
158,2016,8465000000,Республика Алтай,Шебалинский муниципальный район,13720,0,13720
159,2016,8465040500,Республика Алтай,Актельское сельское поселение,423,0,423
160,2016,8465041500,Республика Алтай,Барагашское сельское поселение,760,0,760
161,2016,8465042000,Республика Алтай,Беш-Озекское сельское поселение,577,0,577
162,2016,8465043000,Республика Алтай,Верх-Апшуяхтинское сельское поселение,269,0,269
163,2016,8465043500,Республика Алтай,Дъектиекское сельское поселение,989,0,989
164,2016,8465044500,Республика Алтай,Ильинское сельское поселение,872,0,872
165,2016,8465045500,Республика Алтай,Камлакское сельское поселение,572,0,572
166,2016,8465045700,Республика Алтай,Каспинское сельское поселение,372,0,372
167,2016,8465046500,Республика Алтай,Малочергинское сельское поселение,427,0,427
168,2016,8465047500,Республика Алтай,Улусчергинское сельское поселение,494,0,494
169,2016,8465049000,Республика Алтай,Чергинское сельское поселение,1995,0,1995
170,2016,8465049200,Республика Алтай,Шебалинское сельское поселение,5459,0,5459
171,2016,8465049400,Республика Алтай,Шыргайтинское сельское поселение,511,0,511
172,2016,8000000000,Республика Башкортостан,Муниципальные образования Республики Башкортостан,4071064,2515900,1555164
173,2016,8070100000,Республика Башкортостан,Городской округ - город Уфа,1121429,1110976,10453
174,2016,807010000011000,Республика Башкортостан,г. Уфа,1110976,1110976,0
175,2016,,Республика Башкортостан,внутригородские районы в составе городского округа:,,,
176,2016,807013650011000,Республика Башкортостан,Демский,73019,73019,0
177,2016,807013700011000,Республика Башкортостан,Калининский,202993,202993,0
178,2016,807013750011000,Республика Башкортостан,Кировский,162234,162234,0
179,2016,807013800011000,Республика Башкортостан,Ленинский,85270,85270,0
180,2016,807013840011000,Республика Башкортостан,Октябрьский,241425,241425,0
181,2016,807013850011000,Республика Башкортостан,Орджоникидзевский,167699,167699,0
182,2016,807013900011000,Республика Башкортостан,Советский,178336,178336,0
183,2016,8070300000,Республика Башкортостан,Городской округ - город Агидель,15616,15616,0
184,2016,807030000011000,Республика Башкортостан,г. Агидель,15616,15616,0
185,2016,8072300000,Республика Башкортостан,Городской округ - город Кумертау,65280,61312,3968
186,2016,807230000011000,Республика Башкортостан,г. Кумертау,61312,61312,0
187,2016,8070700000,Республика Башкортостан,Городской округ - город Межгорье,16019,16019,0
188,2016,807070000011000,Республика Башкортостан,г. Межгорье,16019,16019,0
189,2016,8072700000,Республика Башкортостан,Городской округ - город Нефтекамск,137592,125915,11677
190,2016,807270000011000,Республика Башкортостан,г. Нефтекамск,125915,125915,0
191,2016,8073500000,Республика Башкортостан,Городской округ - город Октябрьский,113626,113626,0
192,2016,807350000011000,Республика Башкортостан,г. Октябрьский,113626,113626,0
193,2016,8073900000,Республика Башкортостан,Городской округ - город Салават,153973,153973,0
194,2016,807390000011000,Республика Башкортостан,г. Салават,153973,153973,0
195,2016,8074300000,Республика Башкортостан,Городской округ - город Сибай,62553,61534,1019
196,2016,807430000011000,Республика Башкортостан,г. Сибай,61534,61534,0
197,2016,8074500000,Республика Башкортостан,Городской округ - город Стерлитамак,279692,279692,0
198,2016,807450000011000,Республика Башкортостан,г. Стерлитамак,279692,279692,0
199,2016,8060100000,Республика Башкортостан,Муниципальный район Абзелиловский район,44888,0,44888
200,2016,8060140400,Республика Башкортостан,Сельское поселение Альмухаметовский сельсовет,2756,0,2756
201,2016,8060140700,Республика Башкортостан,Сельское поселение Амангильдинский сельсовет,2199,0,2199
202,2016,8060141000,Республика Башкортостан,Сельское поселение Аскаровский сельсовет,9128,0,9128
203,2016,8060141300,Республика Башкортостан,Сельское поселение Баимовский сельсовет,3615,0,3615
204,2016,8060141600,Республика Башкортостан,Сельское поселение Бурангуловский сельсовет,1286,0,1286
205,2016,8060141900,Республика Башкортостан,Сельское поселение Гусевский сельсовет,2474,0,2474
206,2016,8060142200,Республика Башкортостан,Сельское поселение Давлетовский сельсовет,1881,0,1881
207,2016,8060142500,Республика Башкортостан,Сельское поселение Кирдасовский сельсовет,699,0,699
208,2016,8060142800,Республика Башкортостан,Сельское поселение Краснобашкирский сельсовет,3881,0,3881
209,2016,8060143100,Республика Башкортостан,Сельское поселение Равиловский сельсовет,2325,0,2325
210,2016,8060143400,Республика Башкортостан,Сельское поселение Ташбулатовский сельсовет,3956,0,3956
211,2016,8060143700,Республика Башкортостан,Сельское поселение Таштимеровский сельсовет,4032,0,4032
212,2016,8060144000,Республика Башкортостан,Сельское поселение Халиловский сельсовет,2709,0,2709
213,2016,8060144300,Республика Башкортостан,Сельское поселение Хамитовский сельсовет,867,0,867
214,2016,8060144600,Республика Башкортостан,Сельское поселение Янгильский сельсовет,3080,0,3080
215,2016,8060200000,Республика Башкортостан,Муниципальный район Альшеевский район,39420,0,39420
216,2016,8060240400,Республика Башкортостан,Сельское поселение Абдрашитовский сельсовет,1248,0,1248
217,2016,8060240600,Республика Башкортостан,Сельское поселение Аксеновский сельсовет,2454,0,2454
218,2016,8060241300,Республика Башкортостан,Сельское поселение Воздвиженский сельсовет,584,0,584
219,2016,8060241600,Республика Башкортостан,Сельское поселение Гайниямакский сельсовет,955,0,955
220,2016,8060241800,Республика Башкортостан,Сельское поселение Зеленоклиновский сельсовет,486,0,486
221,2016,8060241900,Республика Башкортостан,Сельское поселение Ибраевский сельсовет,580,0,580
222,2016,8060242200,Республика Башкортостан,Сельское поселение Казанский сельсовет,805,0,805
223,2016,8060242800,Республика Башкортостан,Сельское поселение Кармышевский сельсовет,1376,0,1376
224,2016,8060243100,Республика Башкортостан,Сельское поселение Кипчак-Аскаровский сельсовет,884,0,884
225,2016,8060243700,Республика Башкортостан,Сельское поселение Кызыльский сельсовет,960,0,960
226,2016,8060244000,Республика Башкортостан,Сельское поселение Мендяновский сельсовет,498,0,498
227,2016,8060244300,Республика Башкортостан,Сельское поселение Нигматуллинский сельсовет,814,0,814
228,2016,8060244600,Республика Башкортостан,Сельское поселение Нижнеаврюзовский сельсовет,995,0,995
229,2016,8060244900,Республика Башкортостан,Сельское поселение Никифаровский сельсовет,937,0,937
230,2016,8060245100,Республика Башкортостан,Сельское поселение Раевский сельсовет,19517,0,19517
231,2016,8060245500,Республика Башкортостан,Сельское поселение Слаковский сельсовет,858,0,858
232,2016,8060245800,Республика Башкортостан,Сельское поселение Ташлинский сельсовет,533,0,533
233,2016,8060246100,Республика Башкортостан,Сельское поселение Трунтаишевский сельсовет,1024,0,1024
234,2016,8060246400,Республика Башкортостан,Сельское поселение Чебенлинский сельсовет,603,0,603
235,2016,8060247000,Республика Башкортостан,Сельское поселение Шафрановский сельсовет,3309,0,3309
236,2016,8060300000,Республика Башкортостан,Муниципальный район Архангельский район,17686,0,17686
237,2016,8060340400,Республика Башкортостан,Сельское поселение Абзановский сельсовет,1029,0,1029
238,2016,8060341000,Республика Башкортостан,Сельское поселение Архангельский сельсовет,5974,0,5974
239,2016,8060341300,Республика Башкортостан,Сельское поселение Арх-Латышский сельсовет,1947,0,1947
240,2016,8060341600,Республика Башкортостан,Сельское поселение Бакалдинский сельсовет,1769,0,1769
241,2016,8060341900,Республика Башкортостан,Сельское поселение Инзерский сельсовет,1142,0,1142
242,2016,8060342200,Республика Башкортостан,Сельское поселение Ирныкшинский сельсовет,509,0,509
243,2016,8060342500,Республика Башкортостан,Сельское поселение Краснозилимский сельсовет,1197,0,1197
244,2016,8060342800,Республика Башкортостан,Сельское поселение Краснокуртовский сельсовет,343,0,343
245,2016,8060343400,Республика Башкортостан,Сельское поселение Липовский сельсовет,1291,0,1291
246,2016,8060344000,Республика Башкортостан,Сельское поселение Орловский сельсовет,407,0,407
247,2016,8060344600,Республика Башкортостан,Сельское поселение Тавакачевский сельсовет,993,0,993
248,2016,8060345000,Республика Башкортостан,Сельское поселение Узунларовский сельсовет,1085,0,1085
249,2016,8060400000,Республика Башкортостан,Муниципальный район Аскинский район,19000,0,19000
250,2016,8060440200,Республика Башкортостан,Сельское поселение Арбашевский сельсовет,357,0,357
251,2016,8060440400,Республика Башкортостан,Сельское поселение Аскинский сельсовет,8055,0,8055
252,2016,8060441300,Республика Башкортостан,Сельское поселение Евбулякский сельсовет,751,0,751
253,2016,8060441600,Республика Башкортостан,Сельское поселение Казанчинский сельсовет,984,0,984
254,2016,8060441800,Республика Башкортостан,Сельское поселение Карткисяковский сельсовет,423,0,423
255,2016,8060441900,Республика Башкортостан,Сельское поселение Кашкинский сельсовет,1468,0,1468
256,2016,8060442500,Республика Башкортостан,Сельское поселение Ключевский сельсовет,353,0,353
257,2016,8060442800,Республика Башкортостан,Сельское поселение Кубиязовский сельсовет,1359,0,1359
258,2016,8060443100,Республика Башкортостан,Сельское поселение Кунгаковский сельсовет,544,0,544
259,2016,8060443700,Республика Башкортостан,Сельское поселение Кшлау-Елгинский сельсовет,1058,0,1058
260,2016,8060444000,Республика Башкортостан,Сельское поселение Мутабашевский сельсовет,451,0,451
261,2016,8060444200,Республика Башкортостан,Сельское поселение Петропавловский сельсовет,861,0,861
262,2016,8060444300,Республика Башкортостан,Сельское поселение Султанбековский сельсовет,627,0,627
263,2016,8060444600,Республика Башкортостан,Сельское поселение Урмиязовский сельсовет,1256,0,1256
264,2016,8060445000,Республика Башкортостан,Сельское поселение Усть-Табасский сельсовет,453,0,453
265,2016,8060500000,Республика Башкортостан,Муниципальный район Аургазинский район,33721,0,33721
266,2016,8060540200,Республика Башкортостан,Сельское поселение Балыклыкульский сельсовет,1133,0,1133
267,2016,8060540400,Республика Башкортостан,Сельское поселение Батыровский сельсовет,2021,0,2021
268,2016,8060540700,Республика Башкортостан,Сельское поселение Бишкаинский сельсовет,1116,0,1116
269,2016,8060541000,Республика Башкортостан,Сельское поселение Ибраевский сельсовет,1211,0,1211
270,2016,8060541300,Республика Башкортостан,Сельское поселение Исмагиловский сельсовет,1051,0,1051
271,2016,8060541600,Республика Башкортостан,Сельское поселение Ишлинский сельсовет,1342,0,1342
272,2016,8060541900,Республика Башкортостан,Сельское поселение Кебячевский сельсовет,676,0,676
273,2016,8060542200,Республика Башкортостан,Сельское поселение Меселинский сельсовет,1217,0,1217
274,2016,8060542500,Республика Башкортостан,Сельское поселение Михайловский сельсовет,964,0,964
275,2016,8060542800,Республика Башкортостан,Сельское поселение Нагадакский сельсовет,1445,0,1445
276,2016,8060543100,Республика Башкортостан,Сельское поселение Новокальчировский сельсовет,1332,0,1332
277,2016,8060543400,Республика Башкортостан,Сельское поселение Семенкинский сельсовет,2420,0,2420
278,2016,8060543700,Республика Башкортостан,Сельское поселение Степановский сельсовет,853,0,853
279,2016,8060544000,Республика Башкортостан,Сельское поселение Султанмуратовский сельсовет,778,0,778
280,2016,8060544300,Республика Башкортостан,Сельское поселение Таштамакский сельсовет,914,0,914
281,2016,8060544600,Республика Башкортостан,Сельское поселение Толбазинский сельсовет,10510,0,10510
282,2016,8060544900,Республика Башкортостан,Сельское поселение Тряпинский сельсовет,875,0,875
283,2016,8060545200,Республика Башкортостан,Сельское поселение Тукаевский сельсовет,1302,0,1302
284,2016,8060545800,Республика Башкортостан,Сельское поселение Турумбетовский сельсовет,821,0,821
285,2016,8060546100,Республика Башкортостан,Сельское поселение Уршакский сельсовет,859,0,859
286,2016,8060547200,Республика Башкортостан,Сельское поселение Чуваш-Карамалинский сельсовет,881,0,881
287,2016,8060600000,Республика Башкортостан,Муниципальный район Баймакский район,57176,17475,39701
288,2016,8060610100,Республика Башкортостан,Городское поселение город Баймак,17475,17475,0
289,2016,806061010011000,Республика Башкортостан,г. Баймак,17475,17475,0
290,2016,8060640400,Республика Башкортостан,Сельское поселение Абдулкаримовский сельсовет,802,0,802
291,2016,8060640700,Республика Башкортостан,Сельское поселение Акмурунский сельсовет,3023,0,3023
292,2016,8060640900,Республика Башкортостан,Сельское поселение Бекешевский сельсовет,1480,0,1480
293,2016,8060641000,Республика Башкортостан,Сельское поселение Биляловский сельсовет,1746,0,1746
294,2016,8060641300,Республика Башкортостан,Сельское поселение Зилаирский сельсовет,3440,0,3440
295,2016,8060641600,Республика Башкортостан,Сельское поселение 1-й Иткуловский сельсовет,1347,0,1347
296,2016,8060642200,Республика Башкортостан,Сельское поселение Ишмурзинский сельсовет,1018,0,1018
297,2016,8060642500,Республика Башкортостан,Сельское поселение Ишмухаметовский сельсовет,1112,0,1112
298,2016,8060642800,Республика Башкортостан,Сельское поселение Ишбердинский сельсовет,1090,0,1090
299,2016,8060643100,Республика Башкортостан,Сельское поселение Кусеевский сельсовет,901,0,901
300,2016,8060643400,Республика Башкортостан,Сельское поселение Мукасовский сельсовет,2317,0,2317
301,2016,8060643700,Республика Башкортостан,Сельское поселение Кульчуровский сельсовет,1668,0,1668
302,2016,8060643800,Республика Башкортостан,Сельское поселение Мерясовский сельсовет,727,0,727
303,2016,8060644000,Республика Башкортостан,Сельское поселение Нигаматовский сельсовет,3054,0,3054
304,2016,8060644200,Республика Башкортостан,Сельское поселение Семеновский сельсовет,355,0,355
305,2016,8060644300,Республика Башкортостан,Сельское поселение Сибайский сельсовет,3241,0,3241
306,2016,8060644600,Республика Башкортостан,Сельское поселение Тавлыкаевский сельсовет,1801,0,1801
307,2016,8060644900,Республика Башкортостан,Сельское поселение Татлыбаевский сельсовет,1401,0,1401
308,2016,8060645200,Республика Башкортостан,Сельское поселение Темясовский сельсовет,5475,0,5475
309,2016,8060645300,Республика Башкортостан,Сельское поселение Тубинский сельсовет,1162,0,1162
310,2016,8060645500,Республика Башкортостан,Сельское поселение Юмашевский сельсовет,1465,0,1465
311,2016,8060645900,Республика Башкортостан,Сельское поселение Яратовский сельсовет,1076,0,1076
312,2016,8060700000,Республика Башкортостан,Муниципальный район Бакалинский район,26772,0,26772
313,2016,8060740400,Республика Башкортостан,Сельское поселение Ахмановский сельсовет,834,0,834
314,2016,8060740700,Республика Башкортостан,Сельское поселение Бакалинский сельсовет,11840,0,11840
315,2016,8060741000,Республика Башкортостан,Сельское поселение Михайловский сельсовет,732,0,732
316,2016,8060741300,Республика Башкортостан,Сельское поселение Бузюровский сельсовет,663,0,663
317,2016,8060741900,Республика Башкортостан,Сельское поселение Дияшевский сельсовет,1303,0,1303
318,2016,8060742500,Республика Башкортостан,Сельское поселение Камышлытамакский сельсовет,770,0,770
319,2016,8060742800,Республика Башкортостан,Сельское поселение Килеевский сельсовет,1471,0,1471
320,2016,8060743100,Республика Башкортостан,Сельское поселение Куштиряковский сельсовет,557,0,557
321,2016,8060743400,Республика Башкортостан,Сельское поселение Мустафинский сельсовет,893,0,893
322,2016,8060744000,Республика Башкортостан,Сельское поселение Новокатаевский сельсовет,849,0,849
323,2016,8060744600,Республика Башкортостан,Сельское поселение Новоурсаевский сельсовет,704,0,704
324,2016,8060744900,Республика Башкортостан,Сельское поселение Старокуручевский сельсовет,2403,0,2403
325,2016,8060745100,Республика Башкортостан,Сельское поселение Старокостеевский сельсовет,674,0,674
326,2016,8060745500,Республика Башкортостан,Сельское поселение Староматинский сельсовет,1358,0,1358
327,2016,8060745800,Республика Башкортостан,Сельское поселение Старошарашлинский сельсовет,586,0,586
